"ID","data","imiona","zyczenia"
"1","01-01","Mieszka, Mieczysława, Marii",NULL
"2","01-02","Izydora, Bazylego, Grzegorza",NULL
"3","01-03","Arlety, Genowefy, Danuty",NULL
"4","01-04","Tytusa, Anieli, Eugeniusza",NULL
"5","01-05","Hanny, Szymona, Edwarda",NULL
"6","01-06","Kacpra, Melchiora, Baltazara",NULL
"7","01-07","Juliana, Lucjana, Rajmunda",NULL
"8","01-08","Seweryna, Mścisława, Juliusza",NULL
"9","01-09","Marceliny, Marianny, Juliana",NULL
"10","01-10","Wilhelma, Dobrosława, Danuty",NULL
"11","01-11","Honoraty, Teodozjusza, Matyldy",NULL
"12","01-12","Grety, Arkadiusza, Rajmunda",NULL
"13","01-13","Bogumiły, Weroniki, Hilarego",NULL
"14","01-14","Feliksa, Domosława, Niny",NULL
"15","01-15","Pawła, Arnolda, Izydora",NULL
"16","01-16","Marcelego, Włodzimierza, Waldemara",NULL
"17","01-17","Antoniego, Rościsława, Jana",NULL
"18","01-18","Piotra, Małgorzaty",NULL
"19","01-19","Henryka, Mariusza, Marty",NULL
"20","01-20","Fabiana, Sebastiana",NULL
"21","01-21","Agnieszki, Jarosława",NULL
"22","01-22","Anastazego, Wincentego",NULL
"23","01-23","Ildefonsa, Rajmunda",NULL
"24","01-24","Felicji, Franciszka, Rafała",NULL
"25","01-25","Pawła, Miłosza, Elwiry",NULL
"26","01-26","Tymoteusza, Michała, Tytusa",NULL
"27","01-27","Przybysława, Anieli, Jerzego",NULL
"28","01-28","Walerego, Radomira, Tomasza",NULL
"29","01-29","Zdzisława, Franciszka, Józefa",NULL
"30","01-30","Macieja, Martyny, Teofila",NULL
"31","01-31","Marceli, Ludwiki, Jana",NULL
"32","02-01","Brygidy, Ignacego, Seweryna",NULL
"33","02-02","Marii, Miłosława",NULL
"34","02-03","Błażeja, Oskara",NULL
"35","02-04","Andrzeja, Weroniki, Joanny",NULL
"36","02-05","Agaty, Adelajdy",NULL
"37","02-06","Doroty, Bogdana, Pawła",NULL
"38","02-07","Ryszarda, Teodora, Romana",NULL
"39","02-08","Hieronima, Sebastiana, Ireny",NULL
"40","02-09","Apolonii, Eryki, Cyryla",NULL
"41","02-10","Elwiry, Jacka, Scholastyki",NULL
"42","02-11","Lucjana, Olgierda",NULL
"43","02-12","Eulalii, Radosława, Modesta",NULL
"44","02-13","Grzegorza, Katarzyny",NULL
"45","02-14","Cyryla, Metodego, Walentego",NULL
"46","02-15","Jowity, Faustyna, Zygfryda",NULL
"47","02-16","Danuty, Julianny, Daniela",NULL
"48","02-17","Aleksego, Zbigniewa, Łukasza",NULL
"49","02-18","Szymona, Konstancji, Flawiana",NULL
"50","02-19","Arnolda, Konrada, Marcelego",NULL
"51","02-20","Leona, Ludomira, Zenobiusza",NULL
"52","02-21","Eleonory, Fortunata, Roberta",NULL
"53","02-22","Marty, Małgorzaty, Piotra",NULL
"54","02-23","Romany, Damiana, Polikarpa",NULL
"55","02-24","Macieja, Bogusza, Sergiusza",NULL
"56","02-25","Wiktora, Cezarego",NULL
"57","02-26","Mirosława, Aleksandra",NULL
"58","02-27","Gabriela, Anastazji",NULL
"59","02-28","Romana, Ludomira, Lecha",NULL
"60","02-29","Lecha, Lutosława",NULL
"61","03-01","Antoniny, Radosława, Dawida",NULL
"62","03-02","Heleny, Halszki, Pawła",NULL
"63","03-03","Maryny, Kunegundy, Tycjana",NULL
"64","03-04","Lucji, Kazimierza, Eugeniusza",NULL
"65","03-05","Adriana, Fryderyka, Teofila",NULL
"66","03-06","Róży, Jordana, Agnieszki",NULL
"67","03-07","Tomasza, Perpetuy, Felicyty",NULL
"68","03-08","Beaty, Wincentego, Jana",NULL
"69","03-09","Franciszki, Brunona",NULL
"70","03-10","Cypriana, Marcela, Aleksandra",NULL
"71","03-11","Ludosława, Konstantyna, Benedykta",NULL
"72","03-12","Grzegorza, Justyna, Alojzego",NULL
"73","03-13","Bożeny, Krystyny",NULL
"74","03-14","Leona, Matyldy, Łazarza",NULL
"75","03-16","Longina, Klemensa, Ludwiki",NULL
"76","03-16","Izabeli, Oktawii, Hilarego",NULL
"77","03-17","Patryka, Zbigniewa, Gertrudy",NULL
"78","03-18","Cyryla, Edwarda, Boguchwały",NULL
"79","03-19","Józefa, Bogdana",NULL
"80","03-20","Klaudii, Eufemii, Maurycego",NULL
"81","03-21","Lubomira, Benedykta",NULL
"82","03-22","Katarzyny, Bogusława",NULL
"83","03-23","Pelagii, Oktawiana, Feliksa",NULL
"84","03-24","Marka, Gabriela, Katarzyny",NULL
"85","03-25","Marioli, Wieńczysława, Ireneusza",NULL
"86","03-26","Larysy, Emmanuela, Teodora",NULL
"87","03-27","Lidii, Ernesta",NULL
"88","03-28","Anieli, Sykstusa, Jana",NULL
"89","03-29","Wiktoryna, Helmuta, Eustachego",NULL
"90","03-30","Anieli, Kwiryna, Leonarda",NULL
"91","03-31","Beniamina, Dobromierza, Leonarda",NULL
"92","04-01","Teodory, Grażyny, Ireny",NULL
"93","04-02","Władysława, Franciszka, Teodozji",NULL
"94","04-03","Ryszarda, Pankracego, Ingi",NULL
"95","04-04","Izydora, Wacława",NULL
"96","04-05","Ireny, Wincentego",NULL
"97","04-06","Izoldy, Celestyna, Wilhelma",NULL
"98","04-07","Rufina, Celestyna, Jana",NULL
"99","04-08","Cezaryny, Dionizego, Julii",NULL
"100","04-09","Marii, Dymitra, Heliodora",NULL
"101","04-10","Michała, Makarego",NULL
"102","04-11","Filipa, Leona",NULL
"103","04-12","Juliusza, Lubosława, Zenona",NULL
"104","04-13","Przemysława, Hermenegildy, Marcina",NULL
"105","04-14","Bereniki, Waleriana, Justyny",NULL
"106","04-15","Ludwiny, Wacławy, Anastazji",NULL
"107","04-16","Kseni, Cecylii, Bernadety",NULL
"108","04-17","Rudolfa, Roberta",NULL
"109","04-18","Bogusławy, Apoloniusza",NULL
"110","04-19","Adolfa, Tymona, Leona",NULL
"111","04-20","Czesława, Agnieszki, Mariana",NULL
"112","04-21","Anzelma, Bartosza, Feliksa",NULL
"113","04-22","Kai, Leonii, Sotera",NULL
"114","04-23","Jerzego, Wojciecha",NULL
"115","04-24","Horacego, Feliksa, Grzegorza",NULL
"116","04-25","Marka, Jarosława, Wasyla",NULL
"117","04-26","Marzeny, Klaudiusza, Marii",NULL
"118","04-27","Zyty, Teofila, Felicji",NULL
"119","04-28","Piotra, Walerii, Witalisa",NULL
"120","04-29","Rity, Katarzyny, Bogusława",NULL
"121","04-30","Mariana, Donaty, Tamary",NULL
"122","05-01","Józefa, Jeremiasza, Filipa",NULL
"123","05-02","Zygmunta, Atanazego, Anatola",NULL
"124","05-03","Marii, Antoniny",NULL
"125","05-04","Moniki, Floriana, Władysława",NULL
"126","05-05","Ireny, Waldemara",NULL
"127","05-06","Judyty, Jakuba, Filipa",NULL
"128","05-07","Gizeli, Ludmiły, Benedykta",NULL
"129","05-08","Stanisława, Lizy, Wiktora",NULL
"130","05-09","Bożydara, Grzegorza, Karoliny",NULL
"131","05-10","Izydora, Antoniny, Symeona",NULL
"132","05-11","Igi, Miry, Władysławy",NULL
"133","05-12","Pankracego, Dominika, Achillesa",NULL
"134","05-13","Serwacego, Roberta, Glorii",NULL
"135","05-14","Bonifacego, Dobiesława, Macieja",NULL
"136","05-15","Zofii, Nadziei, Izydora",NULL
"137","05-16","Andrzeja, Jędrzeja, Szymona",NULL
"138","05-17","Paschalisa, Sławomira, Weroniki",NULL
"139","05-18","Eryka, Feliksa, Jana",NULL
"140","05-19","Iwa, Piotra, Celestyna",NULL
"141","05-20","Bazylego, Bernardyna, Aleksandra",NULL
"142","05-21","Wiktora, Kryspina, Tymoteusza",NULL
"143","05-22","Heleny, Wiesławy, Ryty",NULL
"144","05-23","Iwony, Dezyderego, Kryspina",NULL
"145","05-24","Joanny, Zuzanny",NULL
"146","05-25","Grzegorza, Urbana, Magdaleny",NULL
"147","05-26","Filipa, Pauliny",NULL
"148","05-27","Augustyna, Juliana, Magdaleny",NULL
"149","05-28","Jaromira, Justa, Justyny",NULL
"150","05-29","Magdaleny, Bogumiły, Urszuli",NULL
"151","05-30","Ferdynanda, Karola, Jana",NULL
"152","05-31","Anieli, Petroneli",NULL
"153","06-01","Justyna, Anieli, Konrada",NULL
"154","06-02","Marianny, Marcelina, Piotra",NULL
"155","06-03","Leszka, Tamary, Karola",NULL
"156","06-04","Kwiryny, Franciszka",NULL
"157","06-05","Waltera, Bonifacego, Walerii",NULL
"158","06-06","Norberta, Laurentego, Bogumiła",NULL
"159","06-07","Roberta, Wiesława",NULL
"160","06-08","Medarda, Maksyma, Seweryna",NULL
"161","06-09","Pelagii, Dominika, Efrema",NULL
"162","06-10","Bogumiła, Małgorzaty, Diany",NULL
"163","06-11","Barnaby, Radomiła, Feliksa",NULL
"164","06-12","Janiny, Onufrego, Leona",NULL
"165","06-13","Lucjana, Antoniego",NULL
"166","06-14","Bazylego, Elwiry, Michała",NULL
"167","06-15","Wita, Jolanty",NULL
"168","06-16","Aliny, Benona, Anety",NULL
"169","06-17","Laury, Marcjana, Alberta",NULL
"170","06-18","Marka, Elżbiety",NULL
"171","06-19","Gerwazego, Protazego",NULL
"172","06-20","Diny, Bogny, Florentyny",NULL
"173","06-21","Alicji, Alojzego",NULL
"174","06-22","Pauliny, Tomasza, Jana",NULL
"175","06-23","Wandy, Zenona",NULL
"176","06-24","Jana, Danuty",NULL
"177","06-25","Lucji, Wilhelma, Doroty",NULL
"178","06-26","Jana, Pawła",NULL
"179","06-27","Maryli, Władysława, Cyryla",NULL
"180","06-28","Leona, Ireneusza",NULL
"181","06-29","Piotra, Pawła",NULL
"182","06-30","Emilii, Lucyny",NULL
"183","07-01","Haliny, Mariana, Marcina",NULL
"184","07-02","Jagody, Urbana, Marii",NULL
"185","07-03","Jacka, Anatola, Tomasza",NULL
"186","07-04","Odona, Malwiny, Elżbiety",NULL
"187","07-05","Marii, Antoniego",NULL
"188","07-06","Gotarda, Dominiki, Lucji",NULL
"189","07-07","Cyryla, Estery, Metodego",NULL
"190","07-08","Edgara, Elżbiety, Eugeniusza",NULL
"191","07-09","Lukrecji, Weroniki, Zenona",NULL
"192","07-10","Sylwany, Witalisa, Antoniego",NULL
"193","07-11","Olgi, Kaliny, Benedykta",NULL
"194","07-12","Jana, Brunona, Bonifacego",NULL
"195","07-13","Henryka, Kingi, Andrzeja",NULL
"196","07-14","Ulryka, Bonawentury, Kamila",NULL
"197","07-15","Henryka, Włodzimierza, Dawida",NULL
"198","07-16","Mariki, Benity, Eustachego",NULL
"199","07-17","Anety, Bogdana, Jadwigi",NULL
"200","07-18","Erwina, Kamila, Szymona",NULL
"201","07-19","Wincentego, Wodzisława, Marcina",NULL
"202","07-20","Czesława, Hieronima, Małgorzaty",NULL
"203","07-21","Daniela, Diany, Wawrzyńca",NULL
"204","07-22","Marii, Magdaleny",NULL
"205","07-23","Stwosza, Bogny, Brygidy",NULL
"206","07-24","Kingi, Krystyny",NULL
"207","07-25","Walentyny, Krzysztofa, Jakuba",NULL
"208","07-26","Anny, Mirosławy, Grażyny",NULL
"209","07-27","Lilii, Julii, Natalii",NULL
"210","07-28","Aidy, Marceli, Wiktora",NULL
"211","07-29","Olafa, Marty, Ludmiły",NULL
"212","07-30","Julity, Piotra, Aldony",NULL
"213","07-31","Ignacego, Lubomira, Heleny",NULL
"214","08-01","Nadii, Justyna, Juliana",NULL
"215","08-02","Kariny, Gustawa, Euzebiusza",NULL
"216","08-03","Lidii, Augusta, Nikodema",NULL
"217","08-04","Dominika, Protazego, Jana",NULL
"218","08-05","Oswalda, Marii, Mariana",NULL
"219","08-06","Sławy, Jakuba, Oktawiana",NULL
"220","08-07","Kajetana, Doroty, Sykstusa",NULL
"221","08-08","Cypriana, Emiliana, Dominika",NULL
"222","08-09","Romana, Ryszarda, Edyty",NULL
"223","08-10","Borysa, Filomeny, Wawrzyńca",NULL
"224","08-11","Klary, Zuzanny, Lecha",NULL
"225","08-12","Innocentego, Lecha, Euzebii",NULL
"226","08-13","Diany, Hipolita",NULL
"227","08-14","Alfreda, Euzebiusza, Maksymiliana",NULL
"228","08-15","Napoleona, Stelli",NULL
"229","08-16","Rocha, Stefana, Joachima",NULL
"230","08-17","Mirona, Jacka",NULL
"231","08-18","Ilony, Bronisława, Heleny",NULL
"232","08-19","Bolesława, Juliana",NULL
"233","08-20","Bernarda, Samuela, Sobiesława",NULL
"234","08-21","Joanny, Kazimiery, Piusa",NULL
"235","08-22","Cezarego, Tymoteusza",NULL
"236","08-23","Apolinarego, Filipa",NULL
"237","08-24","Jerzego, Bartosza, Haliny",NULL
"238","08-25","Luizy, Ludwika, Józefa",NULL
"239","08-26","Marii, Aleksandra",NULL
"240","08-27","Cezarego, Józefa, Moniki",NULL
"241","08-28","Patrycji, Wyszomira, Augustyna",NULL
"242","08-29","Beaty, Jana, Sabiny, Racibora",NULL
"243","08-30","Róży, Szczęsnego, Feliksa",NULL
"244","08-31","Bogdana, Ramony, Rajmunda",NULL
"245","09-01","Idziego, Bronisława",NULL
"246","09-02","Juliana, Stefana, Wilhelma",NULL
"247","09-03","Grzegorza, Izabeli, Szymona",NULL
"248","09-04","Idy, Julianny, Rozalii, Róży",NULL
"249","09-05","Doroty, Teodora, Wawrzyńca",NULL
"250","09-06","Beaty, Eugeniusza",NULL
"251","09-07","Domosławy, Melchiora, Reginy",NULL
"252","09-08","Marii, Adrianny, Serafiny",NULL
"253","09-09","¦cibora, Sergiusza, Piotra",NULL
"254","09-10","Łukasza, Aldony, Mścisława",NULL
"255","09-11","Jacka, Prota, Dagny, Hiacynta",NULL
"256","09-12","Gwidona, Radzimira, Marii",NULL
"257","09-13","Eugenii, Aureliusza, Jana",NULL
"258","09-14","Roksany, Bernarda, Cypriana",NULL
"259","09-15","Albina, Nikodema, Marii",NULL
"260","09-16","Edyty, Korneliusza, Cypriana",NULL
"261","09-17","Franciszka, Roberta, Justyna",NULL
"262","09-18","Irmy, Stanisława, Ireny",NULL
"263","09-19","Januarego, Konstancji, Teodora",NULL
"264","09-20","Filipiny, Eustachego, Euzebii",NULL
"265","09-21","Jonasza, Mateusza, Hipolita",NULL
"266","09-22","Tomasza, Maurycego, Joachima",NULL
"267","09-23","Tekli, Bogusława, Linusa",NULL
"268","09-24","Gerarda, Ruperta, Tomiry",NULL
"269","09-25","Aurelii, Władysława, Kleofasa",NULL
"270","09-26","Wawrzyńca, Kosmy, Damiana",NULL
"271","09-27","Wincentego, Mirabeli, Justyny",NULL
"272","09-28","Wacława, Tymona, Marka",NULL
"273","09-29","Michała, Gabriela, Rafała",NULL
"274","09-30","Wery, Honoriusza, Hieronima",NULL
"275","10-01","Danuty, Remigiusza, Teresy",NULL
"276","10-02","Teofila, Dionizego, Sławomira",NULL
"277","10-03","Teresy, Heliodora, Jana",NULL
"278","10-04","Rozalii, Edwina, Franciszka",NULL
"279","10-05","Placyda, Apolinarego",NULL
"280","10-06","Artura, Brunona",NULL
"281","10-07","Marii, Marka, Mirelli",NULL
"282","10-08","Pelagii, Brygidy, Walerii",NULL
"283","10-09","Arnolda, Dionizego, Wincentego",NULL
"284","10-10","Pauliny, Danieli, Leona",NULL
"285","10-11","Aldony, Aleksandra, Dobromiry",NULL
"286","10-12","Eustachego, Maksymiliana, Edwina",NULL
"287","10-13","Geralda, Edwarda, Honorata",NULL
"288","10-14","Liwii, Kaliksta, Bernarda",NULL
"289","10-15","Jadwigi, Teresy, Florentyny",NULL
"290","10-16","Gawła, Ambrożego",NULL
"291","10-17","Wiktora, Marity, Ignacego",NULL
"292","10-18","Juliana, Łukasza",NULL
"293","10-19","Ziemowita, Jana, Pawła",NULL
"294","10-20","Ireny, Kleopatry, Jana",NULL
"295","10-21","Urszuli, Hilarego, Jakuba",NULL
"296","10-22","Halki, Filipa, Salomei",NULL
"297","10-23","Marleny, Seweryna, Igi",NULL
"298","10-24","Rafała, Marcina, Antoniego",NULL
"299","10-25","Darii, Wilhelminy, Bonifacego",NULL
"300","10-26","Lucjana, Ewarysta, Damiana",NULL
"301","10-27","Iwony, Sabiny",NULL
"302","10-28","Szymona, Tadeusza",NULL
"303","10-29","Euzebii, Wioletty, Felicjana",NULL
"304","10-30","Zenobii, Przemysława, Edmunda",NULL
"305","10-31","Urbana, Saturnina, Krzysztofa",NULL
"306","11-01","Seweryna, Wiktoryny",NULL
"307","11-02","Bohdany, Bożydara",NULL
"308","11-03","Sylwii, Marcina, Huberta",NULL
"309","11-04","Karola, Olgierda",NULL
"310","11-05","Elżbiety, Sławomira, Dominika",NULL
"311","11-06","Feliksa, Leonarda, Ziemowita",NULL
"312","11-07","Antoniego, Żytomira, Ernesta",NULL
"313","11-08","Seweryna, Bogdana, Klaudiusza",NULL
"314","11-09","Aleksandra, Ludwika, Teodora",NULL
"315","11-10","Leny, Ludomira, Leona",NULL
"316","11-11","Marcina, Bartłomieja, Teodora",NULL
"317","11-12","Renaty, Witolda, Jozafata",NULL
"318","11-13","Mateusza, Izaaka, Stanisława",NULL
"319","11-14","Rogera, Serafina, Wawrzyńca",NULL
"320","11-15","Alberta, Leopolda",NULL
"321","11-16","Gertrudy, Edmunda, Marii",NULL
"322","11-17","Salomei, Grzegorza, Elżbiety",NULL
"323","11-18","Romana, Klaudyny, Karoliny",NULL
"324","11-19","Seweryny, Maksyma, Salomei",NULL
"325","11-20","Anatola, Sędzimira, Rafała",NULL
"326","11-21","Alberta, Janusza, Konrada",NULL
"327","11-22","Cecylii, Wszemiły, Stefana",NULL
"328","11-23","Adeli, Klemensa, Felicyty",NULL
"329","11-24","Flory, Emmy, Chryzogona",NULL
"330","11-25","Erazma, Katarzyny",NULL
"331","11-26","Delfiny, Sylwestra, Konrada",NULL
"332","11-27","Waleriana, Wirgiliusza, Maksyma",NULL
"333","11-28","Lesława, Zdzisława, Stefana",NULL
"334","11-29","Błażeja, Saturnina",NULL
"335","11-30","Andrzeja, Maury, Konstantego",NULL
"336","12-01","Natalii, Eligiusza, Edmunda",NULL
"337","12-02","Balbiny, Bibianny, Pauliny",NULL
"338","12-03","Franciszka, Ksawerego, Kasjana",NULL
"339","12-04","Barbary, Krystiana, Jana",NULL
"340","12-05","Sabiny, Krystyny, Edyty",NULL
"341","12-06","Mikołaja, Jaremy, Emiliana",NULL
"342","12-07","Marcina, Ambrożego, Teodora",NULL
"343","12-08","Marii, Światozara, Makarego",NULL
"344","12-09","Wiesława Leokadii Joanny",NULL
"345","12-10","Julii, Danieli, Bogdana",NULL
"346","12-11","Damazego, Waldemara, Daniela",NULL
"347","12-12","Dagmary, Aleksandra, Ady",NULL
"348","12-13","Lucji, Otylii",NULL
"349","12-14","Alfreda, Izydora, Jana",NULL
"350","12-15","Niny, Celiny, Waleriana",NULL
"351","12-16","Albiny, Zdzisławy, Alicji",NULL
"352","12-17","Olimpii, Łazarza, Floriana",NULL
"353","12-18","Gracjana, Bogusława, Laurencji",NULL
"354","12-19","Gabrieli, Dariusza, Eleonory",NULL
"355","12-20","Bogumiły, Dominika",NULL
"356","12-21","Tomisława, Seweryna, Piotra",NULL
"357","12-22","Zenona, Honoraty, Franciszki",NULL
"358","12-23","Wiktorii, Sławomiry, Jana",NULL
"359","12-24","Adama, Ewy, Eweliny",NULL
"360","12-25","Anastazji, Eugenii",NULL
"361","12-26","Dionizego, Szczepana",NULL
"362","12-27","Jana, Żanety, Maksyma",NULL
"363","12-28","Teofilii, Godzisława, Cezarego",NULL
"364","12-29","Dawida, Tomasza, Dominika",NULL
"365","12-30","Rainera, Eugeniusza, Irmy",NULL
"366","12-31","Sylwestra, Melanii, Mariusza",NULL
